1,0,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,8,0
1,9,1
1,10,2
1,11,3
1,12,4
1,13,5
1,14,6
1,15,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,16,0
1,17,1
1,18,2
1,19,3
1,20,4
1,21,5
1,22,6
1,23,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,24,0
1,25,1
1,26,2
1,27,3
1,28,4
1,29,5
1,30,6
1,31,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,32,0
1,33,1
1,34,2
1,35,3
1,36,4
1,37,5
1,38,6
1,39,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,40,0
1,41,1
1,42,2
1,43,3
1,44,4
1,45,5
1,46,6
1,47,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,48,0
1,49,1
1,50,2
1,51,3
1,52,4
1,53,5
1,54,6
1,55,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,56,0
1,57,1
1,58,2
1,59,3
1,60,4
1,61,5
1,62,6
1,63,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,64,0
1,65,1
1,66,2
1,67,3
1,68,4
1,69,5
1,70,6
1,71,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,72,0
1,73,1
1,74,2
1,75,3
1,76,4
1,77,5
1,78,6
1,79,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,80,0
1,81,1
1,82,2
1,83,3
1,84,4
1,85,5
1,86,6
1,87,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,88,0
1,89,1
1,90,2
1,91,3
1,92,4
1,93,5
1,94,6
1,95,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,96,0
1,97,1
1,98,2
1,99,3
1,100,4
1,101,5
1,102,6
1,103,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,104,0
1,105,1
1,106,2
1,107,3
1,108,4
1,109,5
1,110,6
1,111,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,112,0
1,113,1
1,114,2
1,115,3
1,116,4
1,117,5
1,118,6
1,119,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,120,0
1,121,1
1,122,2
1,123,3
1,124,4
1,125,5
1,126,6
1,127,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,128,0
1,129,1
1,130,2
1,131,3
1,132,4
1,133,5
1,134,6
1,135,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,136,0
1,137,1
1,138,2
1,139,3
1,140,4
1,141,5
1,142,6
1,143,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,144,0
1,145,1
1,146,2
1,147,3
1,148,4
1,149,5
1,150,6
1,151,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,152,0
1,153,1
1,154,2
1,155,3
1,156,4
1,157,5
1,158,6
1,159,7
3,0,1
3,1,2
3,2,3
3,3,4
3,4,5
3,5,6
3,6,7
1,160,0
1,161,1
1,162,2
1,163,3
1,164,4
1,165,5
1,166,6
1,167,7
